video_base,t_start_sec_x,t_end_sec_x,trimmed_name,start_frame12,window_activity,lat,long,timestamp,id,id_person,camera
columpioscam2-2024-12-17 19:53:18.mp4,8.666666666666666,12.666666666666666,trimmed_columpioscam2-2024-12-17_19_53_18_00-00-09_to_00-00-13_26.mp4,104.0,7.713624249770756,25.653114318847656,-100.2857894897461,2024-12-18 01:53:18.042966+00:00,columpioscam2-2024-12-17 19:53:18.mp4:ce00b07f-a622-4455-b815-9de0a33d1bc4:0,ce00b07f-a622-4455-b815-9de0a33d1bc4,columpioscam2
columpios_cam4-2024-09-25 14:58:45.mp4,7.75,11.75,trimmed_columpios_cam4-2024-09-25_14_58_45_00-00-08_to_00-00-12_27.mp4,93.0,7.713624249770756,25.653019,-100.28595,2024-09-25 20:58:45.041500+00:00,columpios_cam4-2024-09-25_145845.mp4:98:0,98,columpios_cam4
columpioscam2-2024-12-17_10-20-00.mp4,6.916666666666667,10.916666666666668,trimmed_columpioscam2-2024-12-17_10-20-00_00-00-07_to_00-00-11_28.mp4,83.0,7.713624249770756,25.653095245361328,-100.28582000732422,2024-12-17 16:20:00.042714+00:00,columpioscam2-2024-12-17_10-20-00.mp4:d0d57870-deaf-48dc-a8db-967a2089f5f7:0,d0d57870-deaf-48dc-a8db-967a2089f5f7,columpioscam2
columpioscam2-2024-11-20 18:40:18.mp4,9.75,13.75,trimmed_columpioscam2-2024-11-20_18_40_18_00-00-10_to_00-00-14_29.mp4,117.0,7.713624249770756,25.653135299682,-100.285789489746,2024-11-21 00:40:18+00:00,columpioscam2-2024-11-20_184018.mp4:62a0ed47-9ead-4164-9de2-b702032e33b2:0,62a0ed47-9ead-4164-9de2-b702032e33b2,columpioscam2
hundidocam1-2024-10-03 17:18:19.mp4,10.0,14.0,trimmed_hundidocam1-2024-10-03_17_18_19_00-00-10_to_00-00-14_30.mp4,120.0,7.713624249770756,25.652975082397,-100.28628540039,2024-10-03 23:18:19.041494+00:00,hundidocam1-2024-10-03_171819.mp4:86eed92c-d6f2-402c-97a8-f23da3f0e224:0,86eed92c-d6f2-402c-97a8-f23da3f0e224,hundidocam1
columpios_cam4-2024-11-13 07:18:24.mp4,7.083333333333333,11.083333333333332,trimmed_columpios_cam4-2024-11-13_07_18_24_00-00-07_to_00-00-11_31.mp4,85.0,7.713624249770756,25.653022766113,-100.285888671875,2024-11-13 13:18:24.043425+00:00,columpios_cam4-2024-11-13_071824.mp4:2ea28804-b429-4aa4-b8d9-a3dae6cf11de:0,2ea28804-b429-4aa4-b8d9-a3dae6cf11de,columpios_cam4
columpios_tierra-2024-09-25 18:30:31.mp4,4.333333333333333,8.333333333333332,trimmed_columpios_tierra-2024-09-25_18_30_31_00-00-04_to_00-00-08_32.mp4,52.0,7.713624249770756,25.652992,-100.285774,2024-09-26 00:30:31.041600+00:00,columpios_tierra-2024-09-25_183031.mp4:40:0,40,
columpioscam3-2024-10-22 11:23:49.mp4,8.333333333333334,12.333333333333334,trimmed_columpioscam3-2024-10-22_11_23_49_00-00-08_to_00-00-12_33.mp4,100.0,7.713624249770756,25.652986526489,-100.286109924316,2024-10-22 17:23:49.128684+00:00,columpioscam3-2024-10-22_112349.mp4:e32840d6-0906-4b64-a1b3-d66e48664ac4:0,e32840d6-0906-4b64-a1b3-d66e48664ac4,columpioscam3
columpios_cam4-2024-12-16_18-41-00.mp4,10.75,14.75,trimmed_columpios_cam4-2024-12-16_18-41-00_00-00-11_to_00-00-15_34.mp4,129.0,7.713624249770756,25.653064727783203,-100.2858428955078,2024-12-17 00:41:00.046723+00:00,columpios_cam4-2024-12-16_18-41-00.mp4:a2b57ca1-7301-4193-a890-879936369b3f:0,a2b57ca1-7301-4193-a890-879936369b3f,columpios_cam4
columpios_cam4-2024-11-14 16:24:07.mp4,9.333333333333334,13.333333333333334,trimmed_columpios_cam4-2024-11-14_16_24_07_00-00-09_to_00-00-13_35.mp4,112.0,7.713624249770756,25.65305519104,-100.285842895507,2024-11-14 22:24:07.041660+00:00,columpios_cam4-2024-11-14_162407.mp4:10e75f55-a518-437f-9d6d-7c45aa2118dc:0,10e75f55-a518-437f-9d6d-7c45aa2118dc,columpios_cam4
